id,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,price,availability_365,availability_30,number_of_reviews,review_scores_rating,host_is_superhost,host_response_rate,instant_bookable,occupancy_rate
1104867739631955323,143860049,Westerpark,52.3892436,4.8870593,Private room in rental unit,Private room,2,1.0,1.0,1.0,81.0,8,8,20,4.9,False,100.0,False,0.9780821917808219
1104951431299282308,551207651,Centrum-West,52.37660266944288,4.894631687681937,Private room in guest suite,Private room,4,2.0,2.0,2.0,475.0,94,12,4,5.0,True,100.0,False,0.7424657534246575
1105533847419043247,146939631,Oostelijk Havengebied - Indische Buurt,52.372847789566336,4.939676061540942,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,201.0,329,5,0,,False,88.0,False,0.09863013698630141
1106584921726247793,296023784,De Pijp - Rivierenbuurt,52.34110414966701,4.909647340526863,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,250.0,236,6,11,5.0,False,100.0,False,0.35342465753424657
1107022218006667073,371237461,Centrum-Oost,52.36536,4.90863,Entire condo,Entire home/apt,2,1.0,0.0,1.0,224.0,160,1,5,5.0,False,100.0,False,0.5616438356164384
1107131558265456722,2339838,Oud-Oost,52.35390691207019,4.9161872227898,Private room in condo,Private room,2,1.0,1.0,1.0,129.0,61,0,58,4.95,True,100.0,True,0.8328767123287671
1107929775944265906,89371072,De Pijp - Rivierenbuurt,52.34307,4.90398,Private room in rental unit,Private room,2,1.0,1.0,1.0,137.0,130,6,61,4.93,True,100.0,False,0.6438356164383562
1108580540594967235,95513913,Westerpark,52.38419,4.87428,Entire condo,Entire home/apt,2,1.0,1.0,1.0,214.0,313,2,10,5.0,False,100.0,False,0.1424657534246575
1108660903611553211,186971262,Westerpark,52.37795300116629,4.872922476721193,Entire loft,Entire home/apt,2,0.0,1.0,1.0,210.0,314,16,9,5.0,False,100.0,False,0.13972602739726026
1108669608104959701,552008534,Centrum-Oost,52.36364,4.88544,Entire loft,Entire home/apt,4,2.0,2.0,1.5,911.0,265,12,36,4.72,False,100.0,True,0.273972602739726
1109140850282254913,5624529,Noord-West,52.41749,4.90191,Entire home,Entire home/apt,5,3.0,0.0,1.5,171.0,16,0,6,4.67,False,100.0,False,0.9561643835616438
1109268272945901766,563944736,IJburg - Zeeburgereiland,52.35072013018527,5.016412257672127,Entire loft,Entire home/apt,4,2.0,3.0,1.0,170.0,148,8,26,5.0,True,100.0,False,0.5945205479452055
1109288841867554286,65072965,Bos en Lommer,52.37388,4.8492,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,150.0,217,0,8,4.63,False,100.0,False,0.4054794520547945
1109433618828069372,193864838,Westerpark,52.37679,4.87202,Entire rental unit,Entire home/apt,2,2.0,1.0,1.0,294.0,77,0,5,5.0,False,,False,0.7890410958904109
1109837852002262729,188286481,De Pijp - Rivierenbuurt,52.354892,4.892767999999999,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,279.0,95,0,9,5.0,True,100.0,False,0.7397260273972603
1110139879480746258,565456153,Centrum-West,52.3790407,4.884239500000001,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,117.0,26,3,1,5.0,False,100.0,False,0.9287671232876712
1110204522214684068,420940985,Watergraafsmeer,52.35364,4.92633,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,187.0,168,10,7,4.86,False,100.0,False,0.5397260273972603
1110596074498106145,31710492,Oud-Noord,52.39538,4.9158,Entire townhouse,Entire home/apt,4,2.0,0.0,1.0,196.0,11,11,2,5.0,False,,False,0.9698630136986301
1111543071740017524,152565049,De Aker - Nieuw Sloten,52.34626726414994,4.815815338356288,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,253.0,67,0,1,5.0,False,100.0,False,0.8164383561643835
1112196466964282672,566716658,Slotervaart,52.353382725814434,4.838919476035847,Entire rental unit,Entire home/apt,5,2.0,0.0,1.0,189.0,228,0,2,5.0,False,0.0,False,0.37534246575342467
1112402015042018317,158301859,De Pijp - Rivierenbuurt,52.35038109651252,4.887119270861149,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,394.0,360,25,4,5.0,False,100.0,False,0.013698630136986356
1112857340976117821,23183046,Zuid,52.3505062,4.8461694,Entire condo,Entire home/apt,3,0.0,0.0,1.0,241.0,269,29,3,5.0,False,100.0,False,0.263013698630137
1112945582930671150,567190241,Slotervaart,52.34823951070011,4.830391250968754,Entire condo,Entire home/apt,4,2.0,1.0,1.0,258.0,10,0,10,4.9,False,,False,0.9726027397260274
1113005480920964170,39110511,Zuid,52.3468,4.86105,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,225.0,87,5,3,4.33,False,81.0,False,0.7616438356164383
1113008528382319531,220711664,Oostelijk Havengebied - Indische Buurt,52.366977,4.9329499,Entire serviced apartment,Entire home/apt,4,1.0,2.0,1.0,356.0,224,7,31,4.65,False,88.0,True,0.38630136986301367
1113041116641871054,220711664,Oostelijk Havengebied - Indische Buurt,52.366977,4.9329499,Entire serviced apartment,Entire home/apt,4,1.0,2.0,1.0,333.0,172,5,6,4.33,False,88.0,True,0.5287671232876712
1113042285478213263,220711664,Oostelijk Havengebied - Indische Buurt,52.366977,4.9329499,Entire serviced apartment,Entire home/apt,6,1.0,3.0,1.0,400.0,266,17,90,4.63,False,88.0,True,0.27123287671232876
1113044804402014015,220711664,Oostelijk Havengebied - Indische Buurt,52.366977,4.9329499,Entire serviced apartment,Entire home/apt,4,2.0,3.0,1.0,376.0,280,21,105,4.57,False,88.0,True,0.23287671232876717
1113584662576389151,265253303,Zuid,52.33831206368122,4.846713826911928,Private room,Private room,4,1.0,2.0,1.0,149.0,342,14,71,4.93,True,100.0,True,0.06301369863013695
1114202403288997547,87208818,Oud-Oost,52.35682954808323,4.9091265970569005,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,280.0,159,1,4,5.0,False,100.0,False,0.5643835616438356
1114557793442607910,10567920,De Baarsjes - Oud-West,52.36245783671037,4.853577643454465,Entire rental unit,Entire home/apt,4,3.0,2.0,1.5,272.0,28,0,2,5.0,False,100.0,False,0.9232876712328767
1114587642738374534,567571350,Centrum-West,52.37992842866765,4.893800648565457,Entire rental unit,Entire home/apt,3,2.0,2.0,1.0,380.0,19,0,7,5.0,False,100.0,False,0.947945205479452
1114619588682346717,15849792,De Pijp - Rivierenbuurt,52.34376,4.91036,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,140.0,22,0,5,5.0,False,100.0,False,0.9397260273972603
1114622488204564130,286023428,Centrum-West,52.38144,4.88782,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,636.0,226,16,5,5.0,True,100.0,False,0.38082191780821917
1114940580063882292,17856419,Noord-West,52.41024489787752,4.888521886362558,Entire home,Entire home/apt,4,3.0,2.0,2.0,315.0,20,2,15,4.93,True,100.0,False,0.9452054794520548
1115136066653539947,73080544,Oud-Noord,52.39757606527672,4.916547076196941,Private room in condo,Private room,1,1.0,1.0,1.0,101.0,3,3,1,5.0,False,100.0,False,0.9917808219178083
1115711056572585991,145207016,Oostelijk Havengebied - Indische Buurt,52.36498783150606,4.939441502304248,Entire rental unit,Entire home/apt,4,2.0,0.0,1.0,337.0,78,3,14,4.86,False,100.0,False,0.7863013698630137
1115881841041762359,186915965,De Baarsjes - Oud-West,52.36852493650253,4.865328239402448,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,228.0,267,27,0,,False,100.0,False,0.2684931506849315
1115887926281172521,221337240,Centrum-West,52.38405,4.88836,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,346.0,267,15,54,4.61,False,77.0,True,0.2684931506849315
1115912842823381897,221337240,Centrum-West,52.3840481,4.8883632,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,363.0,261,17,38,4.5,False,77.0,True,0.2849315068493151
1115914579975878866,221337240,Centrum-West,52.3840481,4.8883632,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,353.0,209,3,3,4.67,False,77.0,True,0.4273972602739726
1115917564209286383,221337240,Centrum-West,52.3840481,4.8883632,Entire rental unit,Entire home/apt,6,2.0,4.0,1.0,436.0,284,26,69,4.72,False,77.0,True,0.22191780821917806
1115920950085038102,221337240,Centrum-West,52.3840481,4.8883632,Entire rental unit,Entire home/apt,6,2.0,4.0,1.0,419.0,283,21,46,4.59,False,77.0,True,0.2246575342465753
1116461644743161037,29436200,Centrum-West,52.37731489999999,4.8851159,Entire condo,Entire home/apt,2,1.0,1.0,1.0,309.0,188,0,9,5.0,True,100.0,False,0.4849315068493151
1116499430372682344,19473817,Noord-West,52.40813,4.90572,Entire home,Entire home/apt,4,3.0,3.0,1.0,282.0,113,2,6,4.83,False,100.0,False,0.6904109589041096
1116580102558219219,568048648,De Baarsjes - Oud-West,52.362077,4.875522999999999,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,270.0,158,4,23,4.91,False,74.0,True,0.5671232876712329
1116585404871699830,568048648,De Baarsjes - Oud-West,52.362077,4.875522999999999,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,250.0,248,9,6,3.5,False,74.0,True,0.32054794520547947
1116586866996363653,568048648,De Baarsjes - Oud-West,52.362077,4.875522999999999,Entire serviced apartment,Entire home/apt,4,1.0,2.0,1.0,347.0,272,12,46,4.43,False,74.0,True,0.25479452054794516
1116718914349270689,15015722,De Baarsjes - Oud-West,52.37095679999999,4.8713258,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,160.0,42,0,1,5.0,False,100.0,False,0.8849315068493151
1118000490302472735,9868891,Noord-West,52.41236,4.88911,Entire townhouse,Entire home/apt,4,2.0,1.0,1.0,149.0,8,0,1,5.0,False,100.0,False,0.9780821917808219
1118714742409203912,81834756,Oostelijk Havengebied - Indische Buurt,52.36416046405196,4.939120533400914,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,162.0,29,6,13,5.0,True,100.0,False,0.9205479452054794
1119295146094903186,18433687,De Baarsjes - Oud-West,52.37445277783562,4.859018833749864,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,145.0,64,0,3,5.0,False,100.0,False,0.8246575342465754
1119604322351405176,568726720,Centrum-West,52.367959,4.890362,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,200.0,23,5,2,5.0,False,100.0,False,0.936986301369863
1120259664058137600,529460293,Centrum-West,52.37792,4.87878,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,190.0,254,18,12,4.75,False,83.0,False,0.30410958904109586
1120301954237631816,46553770,De Pijp - Rivierenbuurt,52.35538564698436,4.895205125212669,Entire loft,Entire home/apt,2,1.0,0.0,1.0,338.0,267,27,4,5.0,False,0.0,False,0.2684931506849315
1120372457077397139,75068003,Centrum-Oost,52.3711888,4.931812499999999,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,388.0,166,0,17,5.0,False,100.0,False,0.5452054794520548
1120389547580263534,48365453,De Baarsjes - Oud-West,52.36857929562142,4.875097925526003,Entire condo,Entire home/apt,4,2.0,0.0,1.0,338.0,312,0,11,4.91,False,100.0,False,0.14520547945205475
1120772247275384876,74298066,Noord-West,52.42104577469191,4.892023298727118,Entire home,Entire home/apt,4,2.0,3.0,1.5,270.0,177,0,3,5.0,False,,False,0.5150684931506849
1120822307651029614,540621098,De Baarsjes - Oud-West,52.3695891,4.8684118,Entire rental unit,Entire home/apt,4,2.0,2.0,2.5,540.0,63,3,10,4.9,False,100.0,False,0.8273972602739725
1120872672402737043,18472447,Buitenveldert - Zuidas,52.3372762387198,4.870011666829597,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,290.0,38,0,10,4.8,True,100.0,False,0.8958904109589041
1122466430682712738,226622106,Centrum-Oost,52.371637,4.9098568,Entire serviced apartment,Entire home/apt,4,1.0,3.0,1.0,250.0,289,27,129,4.33,False,89.0,True,0.2082191780821918
1122467939556628115,226622106,Centrum-Oost,52.371637,4.9098568,Entire serviced apartment,Entire home/apt,6,2.0,4.0,1.0,345.0,281,23,80,4.11,False,89.0,True,0.23013698630136992
